Node,Hub Score
u2762,2.6383930475557e-05
u22447,2.7915798968183046e-08
u14024,4.459952212698778e-07
u18795,2.380397225734735e-07
u28390,5.8381561161384294e-09
u27070,1.3803329731522972e-139
u22100,4.4822971135351047e-07
u13444,8.226605450302797e-08
u23993,1.3803329731522972e-139
u21833,6.446166473554309e-08
u23703,3.146562021315208e-07
u29024,1.3803329731522972e-139
u9455,1.304199889381609e-06
u2031,3.4485798575709174e-07
u6524,5.762525726736149e-07
u7407,7.21269414270767e-06
u11939,1.462546812018457e-06
u21076,2.5735108125535885e-07
u11179,1.864062315666611e-06
u15070,1.1092894339495388e-06
u239,0.0033113955833099238
u10026,6.045528278636006e-07
u2564,3.0219527245987165e-05
u17752,4.0716973368788043e-07
u380,0.00018631696531813593
u13020,4.2961006222736387e-07
u6457,2.3872636771431754e-05
u2482,3.9959504914292595e-07
u26982,2.5555922611644594e-09
u16421,4.685341965221813e-08
u2381,1.744391129089507e-06
u27746,1.899679554371487e-07
u18996,3.3714848479021687e-07
u23064,1.3803329731522972e-139
u9608,2.8940126801771705e-07
u28684,1.3803329731522972e-139
u342,0.009927103082428054
u4924,1.6950562230858987e-07
u24759,2.7915798968183046e-08
u19214,2.334449324938025e-07
u12224,1.3223026348545943e-06
u8463,1.8294454596816267e-07
u2542,3.0508790220630427e-05
u20677,1.0396759182695646e-07
u13628,3.6940187983462375e-07
u23406,1.9101557991569686e-07
u15473,1.0078084334696092e-06
u24589,1.1579072221249146e-132
u13040,1.6288734803160514e-06
u23207,2.7051862423902825e-07
u25693,1.3803329731522972e-139
u982,1.5689065383623522e-07
u3650,2.5249679283008124e-06
u14030,1.3689827410230852e-06
u12816,4.900334322537321e-07
u16396,7.160119671185716e-07
u27741,1.3803329731522972e-139
u21905,1.3803329731522972e-139
u575,0.00011451541317212516
u18807,3.5742195440961664e-07
u1261,4.526070552241638e-06
u23788,4.275525130808522e-13
u16236,2.7844466695729677e-07
u27752,2.8598423899014974e-07
u22462,1.3529406016776086e-07
u18382,2.28351094792022e-07
u12332,4.792492744423491e-07
u2220,6.757048334264231e-07
u5390,4.87616330402754e-07
u8930,5.1315798427662316e-06
u17594,2.5241084663636137e-07
u3284,7.52534515315655e-07
u13842,1.7098427880845638e-08
u22086,4.4822971135351047e-07
u24977,3.025126425420709e-07
u16557,3.919933019696238e-07
u15720,6.667152429525411e-07
u2837,5.225676940300793e-06
u10329,7.496814798702756e-07
u18089,3.2452370772179584e-07
u7270,8.054613291307168e-07
u24979,1.8626499988667753e-07
u11356,4.7723816264811946e-08
u16938,8.677415409340429e-08
u3589,3.5423619529672885e-06
u8072,7.087130519644894e-07
u16949,3.695468923101933e-07
u24609,1.107100893835607e-07
u17450,4.127330557281235e-07
u28819,1.3525084662421386e-07
u15039,4.323455754032344e-07
u8248,1.1409443423122666e-06
u13804,3.9784533487170066e-07
u21799,1.0220239062566136e-09
u6963,5.265638237727262e-07
u23827,1.3803329731522972e-139
u8514,3.2047370802286964e-07
